"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test updating a category.","5","Test updating an existing category","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestCategoryService","test_category_service","",""
"A test for successfully deleting a category.","12","Test successful category deletion","tests.integration","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test getting questions by category.","33","Test filtering questions by category ID","tests.integration","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting a non-existent question returns None.","1","Test getting a non-existent question by ID","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionService","test_question_service","",""
"Test partial update of question.","4","Test partial update of a question","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionService","test_question_service","",""
"Test updating a non-existent category returns None.","1","Test updating a non-existent category","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestCategoryService","test_category_service","",""
"Test deleting a non-existent question returns None.","1","Test deleting a non-existent question","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting non-existent question returns 404.","6","Test getting a non-existent question","tests.integration","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"A test that verifies the impossibility of creating a duplicate category.","15","Test failure when creating a duplicate category","tests.integration","Wed Sep 10 23:52:00 GMT 2025","passed","Wed Sep 10 23:52:00 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test deleting a question.","15","Test successful question deletion","tests.integration","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting a category by ID.","4","Test getting an existing category by ID","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestCategoryService","test_category_service","",""
"The test for getting a non-existent category should return a 404.","7","Test getting a non-existent category","tests.integration","Wed Sep 10 23:52:00 GMT 2025","passed","Wed Sep 10 23:52:00 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test getting question by text is case insensitive.","4","Test getting a question by text is case-insensitive","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionService","test_question_service","",""
"Test that creating duplicate question fails.","13","Test failure when creating a duplicate question","tests.integration","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting question by ID.","4","Test getting a single question by its ID","tests.integration","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"The deletion test for a non-existent category should return a 404.","10","Test deleting a non-existent category","tests.integration","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test getting a category by name is case insensitive.","3","Test getting a category by name is case-insensitive","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestCategoryService","test_category_service","",""
"Test updating a question.","10","Test successful question update","tests.integration","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test for the successful creation of a question.","21","test_create_question","tests.e2e","Wed Sep 10 23:52:00 GMT 2025","passed","Wed Sep 10 23:52:00 GMT 2025","TestQuestionsAPI","test_questions_api","",""
"Test updating a non-existent question returns None.","1","Test updating a non-existent question","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting a non-existent category by name returns None.","1","Test getting a non-existent category by name","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestCategoryService","test_category_service","",""
"Test partial update of category.","4","Test partial update of a category (no change)","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting a non-existent category returns None.","1","Test getting a non-existent category by ID","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting non-existent question by text returns None.","1","Test getting a non-existent question by text","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionService","test_question_service","",""
"Test updating a question.","4","Test updating an existing question","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionService","test_question_service","",""
"Test creating a new question.","4","Test creating a new question successfully","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionService","test_question_service","",""
"The test of successful category creation.","25","Test successful category creation","tests.integration","Wed Sep 10 23:52:00 GMT 2025","passed","Wed Sep 10 23:52:00 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test getting questions by category.","8","Test filtering questions by category","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionService","test_question_service","",""
"Test that health endpoint returns correct status.","53","test_health_endpoint","tests.e2e","Wed Sep 10 23:52:00 GMT 2025","passed","Wed Sep 10 23:52:00 GMT 2025","TestHealthCheck","test_health","",""
"Test getting all questions.","6","Test getting a list of all questions","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionService","test_question_service","",""
"Test deleting a category.","4","Test deleting an existing category","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestCategoryService","test_category_service","",""
"Test deleting a non-existent category returns None.","1","Test deleting a non-existent category","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestCategoryService","test_category_service","",""
"Test deleting a question.","4","Test deleting an existing question","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionService","test_question_service","",""
"Test getting a category by name.","4","Test getting a category by its name","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestCategoryService","test_category_service","",""
"Test that root endpoint is accessible.","13","test_root_endpoint","tests.e2e","Wed Sep 10 23:52:00 GMT 2025","passed","Wed Sep 10 23:52:00 GMT 2025","TestHealthCheck","test_health","",""
"
Test for successful retrieval of a category by ID.

The `managed_category` fixture provides the ID of an already created category.
","56","test_read_category_by_id","tests.e2e","Wed Sep 10 23:52:00 GMT 2025","passed","Wed Sep 10 23:52:00 GMT 2025","TestCategoriesAPI","test_categories_api","",""
"A test of a successful category update.","10","Test successful category update","tests.integration","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestCategoriesIntegration","test_categories_integration","",""
"Test successful question creation.","7","Test successful question creation","tests.integration","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test deleting non-existent question returns 404.","7","Test deleting a non-existent question","tests.integration","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
"Test getting all categories.","5","Test getting a list of all categories","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestCategoryService","test_category_service","",""
"Test creating a new category.","4","Test creating a new category successfully","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting categories with pagination.","8","Test getting categories with pagination","tests.unit","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestCategoryService","test_category_service","",""
"Test getting all questions.","24","Test getting a list of all questions","tests.integration","Wed Sep 10 23:52:01 GMT 2025","passed","Wed Sep 10 23:52:01 GMT 2025","TestQuestionsIntegration","test_questions_integration","",""
