"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Category Service Unit Tests","7","0","Read Category","0"
"0","","0","Question Service Unit Tests","1","0","Create Question","0"
"0","","0","Question Service Unit Tests","6","0","Read Question","0"
"0","","0","Categories API","1","0","Delete Category","0"
"0","","0","Questions Integration","2","0","Get Question","0"
"0","","0","Categories Integration","3","0","Delete Category","0"
"0","","0","Question Service Unit Tests","2","0","Delete Question","0"
"0","","0","Questions Integration","3","0","Update Question","0"
"0","","0","","1","0","Empty Results","0"
"0","","0","Questions Integration","2","0","Get Questions","0"
"0","","0","","1","0","Create Question","0"
"0","","0","Questions Integration","2","0","Delete Question","0"
"0","","0","","1","0","Get Question by ID","0"
"0","","0","Category Service Unit Tests","3","0","Update Category","0"
"0","","0","Categories Integration","2","0","Create Category","0"
"0","","0","Category Service Unit Tests","2","0","Delete Category","0"
"0","","0","Category Service Unit Tests","1","0","Create Category","0"
"0","","0","Categories Integration","2","0","Update Category","0"
"0","","0","Question Service Unit Tests","3","0","Update Question","0"
"0","","0","Questions Integration","2","0","Create Question","0"
"0","","0","Categories API","2","0","Get Category by ID","0"
"0","","0","","1","0","Delete Question","0"
"0","","0","Categories Integration","2","0","Get Category","0"
"0","","0","Health Check","1","0","Root Endpoint","0"
"0","","0","Health Check","1","0","Health Check","0"
